"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2017","85.90","85.90","85.90","85.90","0.02K","0.82%"
"Aug 10, 2017","86.60","86.60","86.60","86.60","0.01K","0.81%"
"Aug 11, 2017","86.80","86.80","86.80","86.80","0.02K","0.23%"
"Aug 14, 2017","86.80","86.80","86.80","86.80","0.02K","0.00%"
"Aug 15, 2017","86.35","86.35","86.35","86.35","-","-0.52%"
"Aug 16, 2017","86.75","86.75","86.75","86.75","-","0.46%"
"Aug 17, 2017","87.60","87.60","87.60","87.60","0.02K","0.98%"
"Aug 18, 2017","87.30","87.30","87.30","87.30","0.02K","-0.34%"
"Aug 21, 2017","87.20","87.20","87.20","87.20","-","-0.11%"
"Aug 22, 2017","86.75","86.75","86.75","86.75","0.01K","-0.52%"
"Aug 23, 2017","86.90","86.90","86.90","86.90","-","0.17%"
"Aug 24, 2017","86.90","86.90","86.90","86.90","-","0.00%"
"Aug 25, 2017","86.70","86.70","86.70","86.70","-","-0.23%"
"Aug 28, 2017","90.15","90.15","90.15","90.15","-","3.98%"
"Aug 29, 2017","90.00","90.00","90.00","90.00","0.07K","-0.17%"
"Aug 30, 2017","90.10","90.10","90.10","90.10","0.07K","0.11%"
"Aug 31, 2017","89.00","89.00","89.00","89.00","0.01K","-1.22%"
"Sep 01, 2017","88.85","88.85","88.85","88.85","0.01K","-0.17%"
"Sep 05, 2017","90.30","90.30","90.30","90.30","0.07K","1.63%"
"Sep 06, 2017","90.20","90.20","90.20","90.20","0.05K","-0.11%"
"Sep 07, 2017","90.40","90.40","90.40","90.40","0.01K","0.22%"
"Sep 08, 2017","90.90","90.90","90.90","90.90","0.04K","0.55%"
"Sep 11, 2017","91.70","91.70","91.70","91.70","0.06K","0.88%"
"Sep 12, 2017","91.95","91.95","91.95","91.95","0.05K","0.27%"
"Sep 13, 2017","93.70","93.70","93.70","93.70","0.01K","1.90%"
"Sep 14, 2017","94.50","94.50","94.50","94.50","-","0.85%"
"Sep 15, 2017","92.90","92.90","92.90","92.90","0.01K","-1.69%"
"Sep 18, 2017","92.70","92.70","92.70","92.70","0.01K","-0.22%"
"Sep 19, 2017","92.85","92.85","92.85","92.85","-","0.16%"
"Sep 20, 2017","92.70","92.70","92.70","92.70","-","-0.16%"
"Sep 21, 2017","92.05","92.05","92.05","92.05","-","-0.70%"
"Sep 22, 2017","92.15","92.15","92.15","92.15","-","0.11%"
"Sep 25, 2017","92.45","92.45","92.45","92.45","0.01K","0.33%"
"Sep 26, 2017","91.95","91.95","91.95","91.95","-","-0.54%"
"Sep 27, 2017","91.80","91.80","91.80","91.80","-","-0.16%"
"Sep 28, 2017","91.70","91.70","91.70","91.70","-","-0.11%"
"Sep 29, 2017","91.50","91.50","91.50","91.50","-","-0.22%"
"Oct 02, 2017","89.40","89.40","89.40","89.40","0.03K","-2.30%"
"Oct 03, 2017","90.45","90.45","90.45","90.45","0.12K","1.17%"
"Oct 04, 2017","90.70","90.70","90.70","90.70","0.16K","0.28%"
"Oct 05, 2017","90.90","90.90","90.90","90.90","0.05K","0.22%"
"Oct 06, 2017","90.00","90.00","90.00","90.00","0.01K","-0.99%"
"Oct 09, 2017","89.95","89.95","89.95","89.95","0.02K","-0.06%"
"Oct 10, 2017","89.95","89.95","89.95","89.95","0.04K","0.00%"
"Oct 11, 2017","90.45","90.45","90.45","90.45","-","0.56%"
"Oct 12, 2017","91.05","91.05","91.05","91.05","0.04K","0.66%"
"Oct 13, 2017","91.30","91.30","91.30","91.30","0.05K","0.27%"
"Oct 16, 2017","91.85","91.85","91.85","91.85","-","0.60%"
"Oct 17, 2017","91.75","91.75","91.75","91.75","-","-0.11%"
"Oct 18, 2017","91.75","91.75","91.75","91.75","-","0.00%"
"Oct 19, 2017","91.05","91.05","91.05","91.05","-","-0.76%"
"Oct 20, 2017","91.00","91.00","91.00","91.00","0.01K","-0.05%"
"Oct 23, 2017","90.95","90.95","90.95","90.95","-","-0.05%"
"Oct 24, 2017","90.95","90.95","90.95","90.95","-","0.00%"
"Oct 25, 2017","91.05","91.05","91.05","91.05","-","0.11%"
"Oct 26, 2017","91.05","91.05","91.05","91.05","-","0.00%"
"Oct 27, 2017","91.00","91.00","91.00","91.00","-","-0.05%"
"Oct 30, 2017","92.90","92.90","92.90","92.90","0.02K","2.09%"
"Oct 31, 2017","94.50","94.50","94.50","94.50","0.01K","1.72%"
"Nov 01, 2017","95.45","95.45","95.45","95.45","0.03K","1.01%"
"Nov 02, 2017","94.80","94.80","94.80","94.80","0.06K","-0.68%"
"Nov 03, 2017","93.95","93.95","93.95","93.95","-","-0.90%"
"Nov 06, 2017","94.10","94.10","94.10","94.10","0.07K","0.16%"
"Nov 07, 2017","93.95","93.95","93.95","93.95","0.01K","-0.16%"
"Nov 08, 2017","93.55","93.55","93.55","93.55","0.03K","-0.43%"
"Nov 09, 2017","93.35","93.35","93.35","93.35","0.04K","-0.21%"
"Nov 10, 2017","93.25","93.25","93.25","93.25","0.01K","-0.11%"
"Nov 13, 2017","92.90","92.90","92.90","92.90","0.03K","-0.38%"
"Nov 14, 2017","92.25","92.25","92.25","92.25","0.02K","-0.70%"
"Nov 15, 2017","92.05","92.05","92.05","92.05","-","-0.22%"
"Nov 16, 2017","91.65","91.65","91.65","91.65","0.01K","-0.43%"
"Nov 17, 2017","91.45","91.45","91.45","91.45","-","-0.22%"
"Nov 20, 2017","91.30","91.30","91.30","91.30","0.05K","-0.16%"
"Nov 21, 2017","91.35","91.35","91.35","91.35","-","0.05%"
"Nov 22, 2017","91.30","91.30","91.30","91.30","-","-0.05%"
"Nov 24, 2017","91.30","91.30","91.30","91.30","-","0.00%"
"Nov 27, 2017","92.60","92.60","92.60","92.60","0.02K","1.42%"
"Nov 28, 2017","93.95","93.95","93.95","93.95","0.01K","1.46%"
"Nov 29, 2017","94.10","94.10","94.10","94.10","0.01K","0.16%"
"Nov 30, 2017","94.10","94.10","94.10","94.10","-","0.00%"
"Dec 01, 2017","94.50","94.50","94.50","94.50","0.02K","0.43%"
"Dec 04, 2017","95.30","95.30","95.30","95.30","0.02K","0.85%"
"Dec 05, 2017","95.45","95.45","95.45","95.45","0.03K","0.16%"
"Dec 06, 2017","95.10","95.10","95.10","95.10","0.01K","-0.37%"
"Dec 07, 2017","95.25","95.25","95.25","95.25","-","0.16%"
"Dec 08, 2017","95.65","95.65","95.65","95.65","0.02K","0.42%"
"Dec 11, 2017","95.90","95.90","95.90","95.90","-","0.26%"
"Dec 12, 2017","96.00","96.00","96.00","96.00","-","0.10%"
"Dec 13, 2017","95.00","95.00","95.00","95.00","0.03K","-1.04%"
"Dec 14, 2017","95.25","95.25","95.25","95.25","0.01K","0.26%"
"Dec 15, 2017","94.90","94.90","94.90","94.90","0.02K","-0.37%"
"Dec 18, 2017","95.20","95.20","95.20","95.20","-","0.32%"
"Dec 19, 2017","95.40","95.40","95.40","95.40","0.04K","0.21%"
"Dec 20, 2017","95.40","95.40","95.40","95.40","-","0.00%"
"Dec 21, 2017","95.25","95.25","95.25","95.25","-","-0.16%"
"Dec 22, 2017","95.25","95.25","95.25","95.25","-","0.00%"
"Dec 26, 2017","95.25","95.25","95.25","95.25","-","0.00%"
"Dec 27, 2017","95.30","95.30","95.30","95.30","-","0.05%"
"Dec 28, 2017","95.25","95.25","95.25","95.25","-","-0.05%"
"Dec 29, 2017","94.80","94.80","94.80","94.80","-","-0.47%"
"Jan 02, 2018","96.15","96.15","96.15","96.15","0.03K","1.42%"
"Jan 03, 2018","96.20","96.20","96.20","96.20","0.02K","0.05%"
"Jan 04, 2018","96.75","96.75","96.75","96.75","0.09K","0.57%"
"Jan 05, 2018","97.00","97.00","97.00","97.00","0.05K","0.26%"
"Jan 08, 2018","97.40","97.40","97.40","97.40","0.09K","0.41%"
"Jan 09, 2018","97.25","97.25","97.25","97.25","0.01K","-0.15%"
"Jan 10, 2018","97.25","97.25","97.25","97.25","0.02K","0.00%"
